Decade,Occupation,Count,Share,HISCO Code,HISCO Description
0s,skådespelare,1,25.0,17320.0,Actor
0s,Skolkökslärare,1,25.0,13275.0,Domestic Science and General Nursing Teacher
0s,Före detta landstingsråd,1,25.0,20110.0,Legislative Official
0s,skådespelerska,1,25.0,17320.0,Actor
1760s,Före detta amanuens,1,100.0,30000.0,"Clerical or Related Worker, Specialisation Unknown"
1800s,Journalist,1,25.0,15915.0,Journalist
1800s,"författare, översättare",1,25.0,15120.0,Author
1800s,journalist,1,25.0,15915.0,Journalist
1800s,författare,1,25.0,15120.0,Author
1810s,statsråd,1,100.0,20110.0,Legislative Official
1820s,skriftställarinna,1,100.0,15120.0,Author
1830s,Före detta operasångerska,1,100.0,17145.0,Singer
1840s,Fru,4,14.81,-1.0,"Missing, no title"
1840s,Skolföreståndarinna,2,7.41,13940.0,Head Teacher
1840s,textilkonstnär,2,7.41,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1840s,Konstnärinna,2,7.41,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1840s,författarinna,1,3.7,15120.0,Author
1840s,Hovmästarinna,1,3.7,53220.0,Head Waiter
1840s,föreståndarinna,1,3.7,21000.0,"Manager, Specialisation Unknown"
1840s,före detta skolföreståndarinna,1,3.7,13940.0,Head Teacher
1840s,fru,1,3.7,-1.0,"Missing, no title"
1840s,"Fru, Innehavare av Grand pensionat A. Dehn",1,3.7,51090.0,"Other Working Proprietors (Catering, Lodging and Leisure Services)"
1850s,författarinna,15,12.71,15120.0,Author
1850s,Författarinna,13,11.02,15120.0,Author
1850s,Fru,6,5.08,-1.0,"Missing, no title"
1850s,Sekreterare,5,4.24,30000.0,"Clerical or Related Worker, Specialisation Unknown"
1850s,Skriftställarinna,5,4.24,15120.0,Author
1850s,skriftställarinna,4,3.39,15120.0,Author
1850s,konstnärinna,4,3.39,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1850s,Läkare,3,2.54,6105.0,General Physician
1850s,Före detta skådespelerska,3,2.54,17320.0,Actor
1850s,lärarinna,3,2.54,13000.0,"Teacher, Level and Subject Unknown"
1860s,författarinna,30,9.65,15120.0,Author
1860s,Skådespelerska,10,3.22,17320.0,Actor
1860s,Skriftställarinna,9,2.89,15120.0,Author
1860s,Läkare,9,2.89,6105.0,General Physician
1860s,Operettsångerska,8,2.57,17145.0,Singer
1860s,skulptris,8,2.57,16120.0,Sculptor
1860s,Sångerska,7,2.25,17145.0,Singer
1860s,Författarinna,7,2.25,15120.0,Author
1860s,konstnärinna,7,2.25,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1860s,föreståndarinna,6,1.93,21000.0,"Manager, Specialisation Unknown"
1870s,författarinna,56,11.11,15120.0,Author
1870s,konstnärinna,21,4.17,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1870s,skådespelerska,17,3.37,17320.0,Actor
1870s,Skådespelerska,16,3.17,17320.0,Actor
1870s,Fru,15,2.98,-1.0,"Missing, no title"
1870s,Författarinna,14,2.78,15120.0,Author
1870s,läkare,13,2.58,6105.0,General Physician
1870s,skulptris,10,1.98,16120.0,Sculptor
1870s,porträttmålarinna,9,1.79,16130.0,"Painter, Artist"
1870s,Läkare,9,1.79,6105.0,General Physician
1880s,författarinna,44,5.84,15120.0,Author
1880s,Fru,39,5.18,-1.0,"Missing, no title"
1880s,skådespelerska,37,4.91,17320.0,Actor
1880s,Författarinna,33,4.38,15120.0,Author
1880s,konstnärinna,32,4.25,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1880s,Rektor,26,3.45,13940.0,Head Teacher
1880s,journalist,18,2.39,15915.0,Journalist
1880s,Journalist,18,2.39,15915.0,Journalist
1880s,Skådespelerska,17,2.26,17320.0,Actor
1880s,målarinna,13,1.73,93120.0,Building Painter
1890s,författarinna,70,6.52,15120.0,Author
1890s,skådespelerska,61,5.68,17320.0,Actor
1890s,Fru,37,3.45,-1.0,"Missing, no title"
