Occupation,Count,Share,HISCO Code,HISCO Description
Skådespelerska,740,6.27,17320.0,Actor
Författarinna,603,5.11,15120.0,Author
författare,392,3.32,15120.0,Author
Journalist,373,3.16,15915.0,Journalist
Tandläkare,363,3.07,6310.0,"Dentist, General"
operasångerska,333,2.82,17145.0,Singer
Professor,316,2.68,13100.0,"University and Higher Education Teacher, Subject Unknown"
konstnär,281,2.38,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
skådespelare,273,2.31,17320.0,Actor
rektor,197,1.67,13940.0,Head Teacher
