decade,total_count,has_technical_education,has_business_education,has_other_higher_education,total_directors,pct_technical,pct_business,pct_other_higher
0.0,16,0,0,3,16,0.0,0.0,18.8
10.0,1,0,0,0,1,0.0,0.0,0.0
1610.0,1,0,0,0,1,0.0,0.0,0.0
1760.0,1,0,0,0,1,0.0,0.0,0.0
1770.0,1,0,0,0,1,0.0,0.0,0.0
1790.0,1,0,0,1,1,0.0,0.0,100.0
1800.0,98,5,0,35,98,5.1,0.0,35.7
1810.0,91,1,1,44,91,1.1,1.1,48.4
1820.0,2,0,0,0,2,0.0,0.0,0.0
1830.0,50,2,2,12,50,4.0,4.0,24.0
1840.0,432,18,9,189,432,4.2,2.1,43.8
1850.0,1532,138,71,586,1532,9.0,4.6,38.3
1860.0,4518,428,132,2035,4518,9.5,2.9,45.0
1870.0,8730,1367,382,3675,8730,15.7,4.4,42.1
1880.0,16571,2637,1036,7705,16571,15.9,6.3,46.5
1890.0,23699,3741,1919,11484,23699,15.8,8.1,48.5
1900.0,34186,5068,2476,18257,34186,14.8,7.2,53.4
1910.0,28907,5101,2299,14343,28907,17.6,8.0,49.6
1920.0,19211,3559,1820,9667,19211,18.5,9.5,50.3
1930.0,11073,1494,1070,5803,11073,13.5,9.7,52.4
1940.0,5430,414,742,3056,5430,7.6,13.7,56.3
1950.0,1080,43,160,491,1080,4.0,14.8,45.5
1960.0,186,5,17,102,186,2.7,9.1,54.8
1970.0,15,0,1,6,15,0.0,6.7,40.0
1980.0,1,0,0,1,1,0.0,0.0,100.0
1990.0,13,1,3,2,13,7.7,23.1,15.4
2000.0,53,5,3,11,53,9.4,5.7,20.8
2010.0,4,1,0,2,4,25.0,0.0,50.0
