decade,total_count,has_usa_experience,has_non_swedish_experience,total_directors,pct_usa_experience,pct_non_swedish_experience
0.0,16,2,3,16,12.5,18.8
10.0,1,0,0,1,0.0,0.0
1610.0,1,0,0,1,0.0,0.0
1760.0,1,0,0,1,0.0,0.0
1770.0,1,0,1,1,0.0,100.0
1790.0,1,0,0,1,0.0,0.0
1800.0,98,7,9,98,7.1,9.2
1810.0,91,2,23,91,2.2,25.3
1820.0,2,0,0,2,0.0,0.0
1830.0,50,0,1,50,0.0,2.0
1840.0,432,6,50,432,1.4,11.6
1850.0,1532,67,192,1532,4.4,12.5
1860.0,4518,169,619,4518,3.7,13.7
1870.0,8730,319,1395,8730,3.7,16.0
1880.0,16571,526,2496,16571,3.2,15.1
1890.0,23699,904,3396,23699,3.8,14.3
1900.0,34186,1046,4144,34186,3.1,12.1
1910.0,28907,1098,3745,28907,3.8,13.0
1920.0,19211,1013,2746,19211,5.3,14.3
1930.0,11073,664,1854,11073,6.0,16.7
1940.0,5430,355,1052,5430,6.5,19.4
1950.0,1080,63,149,1080,5.8,13.8
1960.0,186,3,17,186,1.6,9.1
1970.0,15,2,5,15,13.3,33.3
1980.0,1,0,0,1,0.0,0.0
1990.0,13,1,1,13,7.7,7.7
2000.0,53,1,9,53,1.9,17.0
2010.0,4,1,2,4,25.0,50.0
