decade,total_count,has_usa_experience,has_non_swedish_experience,total_directors,pct_usa_experience,pct_non_swedish_experience
0.0,2,1,1,2,50.0,50.0
10.0,1,0,0,1,0.0,0.0
1800.0,3,0,0,3,0.0,0.0
1810.0,10,0,8,10,0.0,80.0
1820.0,1,0,0,1,0.0,0.0
1830.0,5,0,0,5,0.0,0.0
1840.0,60,0,6,60,0.0,10.0
1850.0,260,10,47,260,3.8,18.1
1860.0,692,39,113,692,5.6,16.3
1870.0,1916,86,346,1916,4.5,18.1
1880.0,3540,111,552,3540,3.1,15.6
1890.0,5097,241,893,5097,4.7,17.5
1900.0,7045,238,1052,7045,3.4,14.9
1910.0,6832,223,964,6832,3.3,14.1
1920.0,4367,211,708,4367,4.8,16.2
1930.0,2696,146,504,2696,5.4,18.7
1940.0,1777,91,328,1777,5.1,18.5
1950.0,244,15,30,244,6.1,12.3
1960.0,22,1,1,22,4.5,4.5
1970.0,2,0,0,2,0.0,0.0
1990.0,3,0,0,3,0.0,0.0
2000.0,7,0,4,7,0.0,57.1
2010.0,1,0,0,1,0.0,0.0
