decade,total_count,has_technical_education,has_business_education,has_other_higher_education,total_directors,pct_technical,pct_business,pct_other_higher
1800.0,1,1,0,0,1,100.0,0.0,0.0
1840.0,13,4,0,2,13,30.8,0.0,15.4
1850.0,67,51,0,11,67,76.1,0.0,16.4
1860.0,210,162,1,48,210,77.1,0.5,22.9
1870.0,751,652,5,137,751,86.8,0.7,18.2
1880.0,1795,1534,24,370,1795,85.5,1.3,20.6
1890.0,2428,2206,26,477,2428,90.9,1.1,19.6
1900.0,3349,2930,43,702,3349,87.5,1.3,21.0
1910.0,2947,2586,63,514,2947,87.8,2.1,17.4
1920.0,2011,1813,56,281,2011,90.2,2.8,14.0
1930.0,709,633,29,96,709,89.3,4.1,13.5
1940.0,52,40,4,13,52,76.9,7.7,25.0
1950.0,12,9,0,5,12,75.0,0.0,41.7
1960.0,1,1,0,0,1,100.0,0.0,0.0
