decade,total_count,has_usa_experience,has_non_swedish_experience,total_directors,pct_usa_experience,pct_non_swedish_experience
1800.0,1,0,0,1,0.0,0.0
1840.0,13,1,3,13,7.7,23.1
1850.0,67,12,17,67,17.9,25.4
1860.0,210,12,46,210,5.7,21.9
1870.0,751,104,229,751,13.8,30.5
1880.0,1795,144,485,1795,8.0,27.0
1890.0,2428,242,600,2428,10.0,24.7
1900.0,3349,168,529,3349,5.0,15.8
1910.0,2947,72,281,2947,2.4,9.5
1920.0,2011,75,219,2011,3.7,10.9
1930.0,709,21,81,709,3.0,11.4
1940.0,52,2,7,52,3.8,13.5
1950.0,12,3,4,12,25.0,33.3
1960.0,1,0,0,1,0.0,0.0
