location,country_code,status,error_message
None,,ZERO_RESULTS,
Europa,None,ZERO_RESULTS,
Europa,EUR,ZERO_RESULTS,
Rom,ITA,ZERO_RESULTS,
Boden,,ZERO_RESULTS,
null,,ZERO_RESULTS,
Sala,,ZERO_RESULTS,
Island,ISL,ZERO_RESULTS,
Trelleborg,,ZERO_RESULTS,
Tjeckoslovakien,CSK,ZERO_RESULTS,
Utlandet,None,ZERO_RESULTS,
Rom,,ZERO_RESULTS,
Europa,string,ZERO_RESULTS,
Nora,,ZERO_RESULTS,
Tjeckoslovakien,CZE,ZERO_RESULTS,
Österrike-Ungern,AUT,ZERO_RESULTS,
None,None,ZERO_RESULTS,
Mora,,ZERO_RESULTS,
Lidingö villastad,,ZERO_RESULTS,
Java,IDN,ZERO_RESULTS,
Bofors,,ZERO_RESULTS,
Boden,SWE,ZERO_RESULTS,
Experimentalfältet,,ZERO_RESULTS,
Skaraborgs Län,,ZERO_RESULTS,
Malmöhus Län,,ZERO_RESULTS,
Främre Orienten,None,ZERO_RESULTS,
Trälleborg,,ZERO_RESULTS,
Jugoslavien,None,ZERO_RESULTS,
Älvsborgs Län,,ZERO_RESULTS,
Kristianstads Län,,ZERO_RESULTS,
utlandet,None,ZERO_RESULTS,
Orienten,None,ZERO_RESULTS,
Utlandet,,ZERO_RESULTS,
Europa,null,ZERO_RESULTS,
Okänt,UNK,ZERO_RESULTS,
utrikes,None,ZERO_RESULTS,
Vasa,,ZERO_RESULTS,
Aten,GRC,ZERO_RESULTS,
Sovjetunionen,SUN,ZERO_RESULTS,
Okänt,None,ZERO_RESULTS,
Danzig,,ZERO_RESULTS,
Tjeckoslovakien,None,ZERO_RESULTS,
"Foss, Göteborgs och Bohus Län",,ZERO_RESULTS,
Orrefors,,ZERO_RESULTS,
de nordiska länderna,None,ZERO_RESULTS,
Halland,,ZERO_RESULTS,
Östgrönland,GRL,ZERO_RESULTS,
Okänt,XXX,ZERO_RESULTS,
Tumba,,ZERO_RESULTS,
None,SWE,ZERO_RESULTS,
"Vassända-Naglum, Älvsborgs Län",,ZERO_RESULTS,
Skaraborgs Län,SWE,ZERO_RESULTS,
Norrland,SWE,ZERO_RESULTS,
Halland,SWE,ZERO_RESULTS,
Baltikum,None,ZERO_RESULTS,
Småland,,ZERO_RESULTS,
Tärna,,ZERO_RESULTS,
Gustavsberg,,ZERO_RESULTS,
Norrland,,ZERO_RESULTS,
Särö,,ZERO_RESULTS,
Ösmo,,ZERO_RESULTS,
Sovjetunionen,None,ZERO_RESULTS,
Nordafr.,None,ZERO_RESULTS,
okänt,None,ZERO_RESULTS,
"Bäve, Göteborgs och Bohus Län",,ZERO_RESULTS,
Österrike-Ungern,None,ZERO_RESULTS,
Aten,,ZERO_RESULTS,
Sovjetunionen,RUS,ZERO_RESULTS,
Boliden,,ZERO_RESULTS,
"Resteröd, Göteborgs och Bohus Län",,ZERO_RESULTS,
Uppland,,ZERO_RESULTS,
Ångermanland,,ZERO_RESULTS,
Järbo,,ZERO_RESULTS,
Brittiska Indien,IND,ZERO_RESULTS,
Rhodesia,,ZERO_RESULTS,
Linde,,ZERO_RESULTS,
Europa,N/A,ZERO_RESULTS,
Kontinenten,None,ZERO_RESULTS,
Kopparberg,,ZERO_RESULTS,
Bohuslän,SWE,ZERO_RESULTS,
Unknown,UNK,ZERO_RESULTS,
Väja,,ZERO_RESULTS,
Förslövsholm,,ZERO_RESULTS,
Mellanamerika,None,ZERO_RESULTS,
Böhmen,CZE,ZERO_RESULTS,
Mackmyra,,ZERO_RESULTS,
Södertörns villastad,,ZERO_RESULTS,
Ankarsrum,,ZERO_RESULTS,
Gunnebobruk,,ZERO_RESULTS,
Java,,ZERO_RESULTS,
Abessinien,ETH,ZERO_RESULTS,
unknown,UNK,ZERO_RESULTS,
Dalmatien,HRV,ZERO_RESULTS,
Torshälla landsförsamling,,ZERO_RESULTS,
Bohuslän,,ZERO_RESULTS,
Okänd,,ZERO_RESULTS,
Tomteboda,,ZERO_RESULTS,
Europa,,ZERO_RESULTS,
Vika,,ZERO_RESULTS,
Trelleborg,SWE,ZERO_RESULTS,
Slite,,ZERO_RESULTS,
Söderhavsöarna,None,ZERO_RESULTS,
Jugoslavien,,ZERO_RESULTS,
landsorten,,ZERO_RESULTS,
Hälsingland,,ZERO_RESULTS,
Vivstavarv,,ZERO_RESULTS,
Nynäs,,ZERO_RESULTS,
Västtyskland,DEU,ZERO_RESULTS,
uti.,None,ZERO_RESULTS,
Bro,,ZERO_RESULTS,
"Bro, Göteborgs och Bohus Län",,ZERO_RESULTS,
Älgå,,ZERO_RESULTS,
Övre Norrland,,ZERO_RESULTS,
"Laxarby, Älvsborgs Län",,ZERO_RESULTS,
Unknown,,ZERO_RESULTS,
Orup,,ZERO_RESULTS,
Orienten,null,ZERO_RESULTS,
Okänt,Okänt,ZERO_RESULTS,
Blomberg,,ZERO_RESULTS,
Okänt,,ZERO_RESULTS,
Europa,Okänt,ZERO_RESULTS,
Bollerup,,ZERO_RESULTS,
olika länder,None,ZERO_RESULTS,
"Taohualun, Kina",CHN,ZERO_RESULTS,
"Bäck, Skaraborgs Län",,ZERO_RESULTS,
Balticum,None,ZERO_RESULTS,
Balkanländerna,None,ZERO_RESULTS,
Tobo,,ZERO_RESULTS,
Rhodesia,ZWE,ZERO_RESULTS,
Nubien,SDN,ZERO_RESULTS,
Karlstads landsförsamling,,ZERO_RESULTS,
Västergötland,,ZERO_RESULTS,
Utlandet,N/A,ZERO_RESULTS,
Holländerna,NLD,ZERO_RESULTS,
Torö,,ZERO_RESULTS,
Örgryte,,ZERO_RESULTS,
Utrikes,None,ZERO_RESULTS,
kontinenten,None,ZERO_RESULTS,
Norrbärke,,ZERO_RESULTS,
Vasa,FIN,ZERO_RESULTS,
Medelpad,SWE,ZERO_RESULTS,
Malajstaterna,MYS,ZERO_RESULTS,
Utomlands,None,ZERO_RESULTS,
Sovjetryssland,RUS,ZERO_RESULTS,
Tjeckoslovakien,,ZERO_RESULTS,
Lunds landsförsamling,,ZERO_RESULTS,
Västgrönland,GRL,ZERO_RESULTS,
okänt,XXX,ZERO_RESULTS,
utlandet,null,ZERO_RESULTS,
West Hartlepool,,ZERO_RESULTS,
Damara,None,ZERO_RESULTS,
alla världsdelar,None,ZERO_RESULTS,
By,,ZERO_RESULTS,
"Löt, Malmby",,ZERO_RESULTS,
jorden runt,None,ZERO_RESULTS,
Lit,,ZERO_RESULTS,
Sund,,ZERO_RESULTS,
utlandet,,ZERO_RESULTS,
Abessinien,,ZERO_RESULTS,
Hedemora landsförsamling,,ZERO_RESULTS,
"Grovared, Älvsborgs Län",,ZERO_RESULTS,
Olika platser,,ZERO_RESULTS,
Skene,,ZERO_RESULTS,
Brittiska Östafrika,None,ZERO_RESULTS,
Åmåls landsförsamling,,ZERO_RESULTS,
Baltiska länderna,None,ZERO_RESULTS,
Rällså,,ZERO_RESULTS,
Utlandet,null,ZERO_RESULTS,
Småland,SWE,ZERO_RESULTS,
"Östad, Mjörnsjö",,ZERO_RESULTS,
Vara,,ZERO_RESULTS,
Rödjenäs,,ZERO_RESULTS,
Råå,,ZERO_RESULTS,
Baltiska staterna,None,ZERO_RESULTS,
nordiska länder,None,ZERO_RESULTS,
Askersunds landsförsamling,,ZERO_RESULTS,
okänt,UNK,ZERO_RESULTS,
Vänersborgs landsförsamling,,ZERO_RESULTS,
Apelviksstrand,,ZERO_RESULTS,
Bona,,ZERO_RESULTS,
"Aske, Bro",,ZERO_RESULTS,
Fur,,ZERO_RESULTS,
utomlands,None,ZERO_RESULTS,
Bofors,SWE,ZERO_RESULTS,
Kenyakolonien,KEN,ZERO_RESULTS,
Hälsingland,SWE,ZERO_RESULTS,
St.,,ZERO_RESULTS,
Utlandet,XXX,ZERO_RESULTS,
Hall,,ZERO_RESULTS,
"Brismened, Skaraborgs Län",,ZERO_RESULTS,
"Gimmene, Folkabo",,ZERO_RESULTS,
de baltiska länderna,None,ZERO_RESULTS,
Wasa,,ZERO_RESULTS,
Danzig,POL,ZERO_RESULTS,
Alingsås landsförsamling,,ZERO_RESULTS,
Främre Orienten,null,ZERO_RESULTS,
Asine,,ZERO_RESULTS,
"Canton, Kina",CHN,ZERO_RESULTS,
"Bolstad, Lillebyn",,ZERO_RESULTS,
disposition,,ZERO_RESULTS,
Diö,,ZERO_RESULTS,
Hillebyn,,ZERO_RESULTS,
Sala,SWE,ZERO_RESULTS,
Kvarn by,,ZERO_RESULTS,
"S:t Peder, Älvsborgs Län",,ZERO_RESULTS,
Samtliga världsdelar,None,ZERO_RESULTS,
Saltsjö-Bo,,ZERO_RESULTS,
Kosta,,ZERO_RESULTS,
Tanganyika,TZA,ZERO_RESULTS,
Toppeladugård,,ZERO_RESULTS,
Untra,,ZERO_RESULTS,
Norrland,None,ZERO_RESULTS,
Töre,,ZERO_RESULTS,
River Plate,,ZERO_RESULTS,
"Johannesnäs, Dunker",,ZERO_RESULTS,
Valla,,ZERO_RESULTS,
Hwang-chow,,ZERO_RESULTS,
Smaland,,ZERO_RESULTS,
Södra Rhodesia,,ZERO_RESULTS,
Nol,,ZERO_RESULTS,
"Kasenberg, Åmål",,ZERO_RESULTS,
Kanton,CHN,ZERO_RESULTS,
Manchuriet,,ZERO_RESULTS,
Unknown,None,ZERO_RESULTS,
Sydvaranger,NOR,ZERO_RESULTS,
Ickorrbotten,,ZERO_RESULTS,
Baltikum,LVA,ZERO_RESULTS,
"Gustaf, Malmöhus Län",,ZERO_RESULTS,
Alnö,,ZERO_RESULTS,
Rhodesia,None,ZERO_RESULTS,
Unknown,Unknown,ZERO_RESULTS,
Örgryte,SWE,ZERO_RESULTS,
"Gustav Adolf, Skaraborgs Län",,ZERO_RESULTS,
Ingen information tillgänglig,,ZERO_RESULTS,
Raus,,ZERO_RESULTS,
In- och utland,,ZERO_RESULTS,
Balkanstaterna,None,ZERO_RESULTS,
Mora,SWE,ZERO_RESULTS,
Flens,,ZERO_RESULTS,
None,USA,ZERO_RESULTS,
"Canton, Kina",,ZERO_RESULTS,
Svea,,ZERO_RESULTS,
FN,None,ZERO_RESULTS,
unknown,None,ZERO_RESULTS,
Mölnlycke,,ZERO_RESULTS,
unspecified,unspecified,ZERO_RESULTS,
"Bärfendal, Göteborgs och Bohus Län",,ZERO_RESULTS,
"Tongcheofu, Kina",,ZERO_RESULTS,
Wiiforsen,,ZERO_RESULTS,
uti,None,ZERO_RESULTS,
Östern,None,ZERO_RESULTS,
Serafimerlasarettet,,ZERO_RESULTS,
Grannländer,None,ZERO_RESULTS,
Berg,,ZERO_RESULTS,
Glava,,ZERO_RESULTS,
Puget Sound Marine Station,USA,ZERO_RESULTS,
Jorden runt,None,ZERO_RESULTS,
Ölme,,ZERO_RESULTS,
Island,,ZERO_RESULTS,
Bie,,ZERO_RESULTS,
Grannländerna,None,ZERO_RESULTS,
Preussen,DEU,ZERO_RESULTS,
Southern Rhodesia,None,ZERO_RESULTS,
