Gem	Gösta Edström

G Hfm	Gerhard Hafström

G H-m	Gösta Holmström

G H-n	Gunnar Helén

G J-n	Gotthard Johansson

G Kn	Gustaf Karlsson

G-ll	Ingvar Garell

GN	Gunnar Nylund

G N-m	Gustaf Näsström

G Rbg	Gerd Ribbing

Grey	Knud Bolander

Griggs	Sven Aurén

(Grt)	Helge Granfelt

GS	Gunilla Skawonius

G U	Gunnar Unger

Gullmar, Kai	Gulli Bergström

Gunilla	Gunilla Skawonius

Gunlaug	Lisa Mattson

GW	Gunilla Skawonius

Gwen	Else Kleen

G W F	Gösta Funke

H	Alf Henrikson

HafS	Ulf Hård af Segerstad

Ham	Agne Hamrin

Hede, Mary	Alice Svensk

Helena	Gerd Ribbing

H En	Harald Elidin

Henrik	Alf Henrikson

Hersto	Herman Stolpe

H G	Helge Granfelt

Hg Pl	Hilding Pleijel

H G-t	Herman Glimstedt

H H-th	Helge Hellroth

H P M	Henry Peter Matthis

Hqt	Carl-Ewald Holmqvist

H S-m	Henning Söderhjelm

HSy	Håkan Sterky

HT	Harald Thorelli

Hub	Hubert Lärn

Hubertus	Hubert Lärn

Hugh	Hugo Nilsén

Humpe	Gunilla Skawonius

Håkuté	Carl-Ewald Holmqvist

Hägglund, Arne	Knut Korfitsen

I B-n	Ingmar Bengtsson

I H	Ivar Hylander

llström	Bertil Svahnström
Ingel, Paul Michael Ragnar Holmström

-ius	Sven Frychius

Jaf	John Zander

J B	Jean Braconier
Jeremias

i Tröstlösa	Levi Rickson

Jolanta	Margareta Sjögren

Jolo	Jan Olof Olsson

Joy	Gerd Ribbing

K	Gösta Knutsson

Kaimen	Marianne Stuart-

Bergström

Kaj Jans	Töre Wärenstam

Kar de Mumma	Erik Zetterström

Karl-Oskarsson,

Otto	Otto Carlsson
Katja of Sweden Katja Geiger

Kid	Ingrid Severin
Klippare, Petrus Pelle Sollerman

K P	Knut Petersson

K-son	Gösta Knutsson
Käringen mot

strömmen	Barbro Alving

Lang, Maria	Dagmar Lange

Lark	Gustaf Karlsson

L B	Leif Beckman

Ldl	Arnold Ljungdal

Lennart	Lennart Strandberg

LGH	Lisa Genell-Harrie

LGSn	Lars Gunnar Si|lén

Lill	Ellen Liliedahl

Lillman	Manne Ståhl

Lindé, David	David Blomberg

Lindy	Karl Olof Hedström

L K-g	Leif Kihlberg

-II-	Albrekt Ellsén
Lovell-Svensson, Ann Margret Dahlquist-

Lotten	Ljungberg

Manson	Bror Hermansson

MaS	Margareta Sylwan

Méchant	Ernst Nathorst-Böös

MEM, mem	Mats Erik Molander

Mike	Gösta Holmström

Miler	John Zander

Mix	Erik Gustaf Cavallin

M J Dft	Matts Juhlin Dannfelt

Motordoktorn	Gösta Holmström

M P	Moses Pergament

Mr Buss	Johan Sande

Mr Jones	David Jonason

Mr X	Robert Josephsson

M S-g	Martin Strömberg

M S-h I	Manne Ståhl

M S-z	Margit Siwertz

M T-G	Märta Tamm-Götlind

M v K-w	Margareta von Konow

N An	NilsAhlgren

Never Mind	Ivar Arnö

N Ewn	Nils Elowsson

N H N-n	Hugo Nilsén

Nils Ludvig	Nils Ludvig Olsson
Nilsson Piraten,

Fritiof	Fritiof Nilsson

N M	Nils Melander

N-n	Hjalmar Nilsson

O J	Olof Jägerskiöld

0’Kay	Arne Lidström

O K-gh	Osvald Kragh

Oktav	Per-Anders Hellquist

Oleg	Olof Groth

O R W	Otto Wangson

O Th	Oscar Thorsing

Ove	Ove Ekelund

P, P*, P-a, Px	Carl-Fredrik
Palmstierna

XIV
