Pal	Per Laurén

pekonen	Aili Pekonen-Henschen

Pem	Åke Perlström

Pernilla	Pernilla Tunberger

Perpetua	Barbro Hähnel

PEW	Per Erik Wahlund

PGP	Per-Gustaf Peterson

Pia	Pia Hård af Segerstad

Piraten	Fritiof Nilsson

Pius	Set Poppius

Piv	Ivar Arnö

Pors, Eva	Harriet Hjorth

Portia	Synnøve Bellander

Px	Kule Palmstierna

Pål	Stellan Rosén

QUI	Lisa Genell-Harrie

-qvist	Edvard Wallenqvist

-r	Jean Braconier

Redjos	Robert Josephsson

Red Top	Lennart Nyblom

R:et	Rudolf Eklöw

R FI	Rudolf Florin

Rit-Ola	Jan-Erik Garland

R J	Robert Josephsson

-r -n	Gunnar Franzén

-r -r	Gunnar Unger

Robin Hood	Bengt
Idestam-Almquist

S	Sven Emil Strömberg
Saxo Epigramma-

ticus	Arvid Bjerking

Schr	Harald Schiller

S-e	Sigge Bergman

S-e	Sven Ulric Palme

S F	Sven Frychius

S-ff	Axel Olson

S H	Sven Hansson

Sigge	Sigge Bergman

Sir Guy	Pierre Backman

S Ln	Sigurd Lagerman

Sonsoff	Axel Olson

Spectacle	Gunnar Unger

Speed	Martin Rogberg

Spigg, Peter	David Blomberg

S R	Siri Rathsman

S R	Stellan Rosén

S R-n	Sven Rinman

Ständer	Stefan Anderson
Stenman,

Karl-Stefan	Björn Landström

Steve	Sven Emil Strömberg

Stig L	Stig Lindberg

STh	Sture Thorsson

SUP	Sven Ulric Palme

Svale	Sven Sandstedt

Swan	Bertil Svahnström

Sven	Sven Lindhagen

Svenne	Sven Emil Strömberg

Svt	Svante Svärdström

Sylvain, Jules	Stig Hansson

Tege	Märta Tamm-Götlind

Tekå	Torvald Karlbom

Tex	Töre Nilsson

T G W	Törd Wickbom

T G W	Töre Wärenstam

Thl	Harry Thunell

Th N	Thure Nyman
Tierra del Fuego Aron Valentin

Tigram	Margit Siwertz

Tim	Timus Winqvist

T Km	Torvald Karlbom

Trallgöken	Bertil Almqvist

T T	Torsten Tegnér

TW	Torsten Wilner

T W	Timus Winqvist

TWIr	Torsten Wilner

Wachen	Bertil von Wachenfeldt

Vagant	Erie Lindqvist

Watson	Martin Rogberg

W B	Walter Bauer
Westin Silverstolpe Gunnar Silverstolpe

W H-g	Waldemar Hammenhög

Wijk	Gunnar Wijkmark

Viola	Marianne Zetterström

V L	Viggo Loos

Wll	Torsten Widell

W N	Wilhelm Norlind

von Oben	Erik Wilhelm Olson

v S	Carl-Eduard von Seth

Vulc	Sven Malm

Yrjö W	Georg Bergfors

Z	John Zander

A Bd	Ake Berglund

Åke	Åke Forsberg

AVS	Ake V Ström

ö-n	Carl Johan östman

örn, Erie	Otto Grimlund
