K 1*             Livgardesskvadronen
K 1              Livgardet till häst, förutv
K 2*             Skånska kavalleriregementet, förutv
K 3              Livregementets husarer
K 4              Norrlands dragoner
K 4*             Smålands husarregemente, förutv
K 5*             Skånska husarregementet, förutv
K 6*             Skånska dragonregementet, förutv
K 7*             Kronprinsens husarregemente, förutv
KA               kustartilleri
KA 1             Vaxholms kustartilleriregemente
KA 2             Karlskrona kustartilleriregemente
KA 3             Gotlands kustartillerikår
KA 4             Älvsborgs kustartilleriregemente
KA 5             Härnösands kustartillerikår
KAK              Kungl  automobilklubben
KB               Kungl biblioteket
KeLiFa           Kemisk-tekniska och livsmedelsfabrikanters förening
KF               Kooperativa förbundet
KHS              Krigshögskolan
KKH              Kungl konsthögskolan
KLSR             Kvinnliga legitimerade sjukgymnasters riksförbund
KLYS             Konstnärliga och litterära yrkesutövares samarbetsnämnd
KMO              Kungl Maj:ts Orden
korrL            korresponderande ledamot
KRO              Konstnärernas riksorganisation
KRUM             Riksförbundet för kriminalvårdens humanisering
KrVA             Krigsvetenskapsakademien
KS               Krigsskolan
KSAK             Kungl svenska aeroklubben
KSHS             Kungl sjökrigshögskolan
KSL              Kommunalförbundet för Stockholms stad och län
KSS              Kungl sjökrigsskolan
KSSS             Kungl svenska segelsällskapet
KTH              Kungl tekniska högskolan i Stockholm
KUS              konstnärsutbildningssakkunniga
L                ledamot
Lamco            Liberian American-Swedish Minerals Company
LBF              Landsbygdens byggnadsförening
LH               Lantbrukshögskolan
LHS              Humanistiska vetenskapssamfundet i Lund
Litt et Art      Litteris et Artibus
LK               livsmedelskommissionen
LKAB             Luossavaara-Kiirunavaara ab
LME              Telefon ab L M Ericsson
LO               Landsorganisationen
LR               Lärarnas riksförbund
LSI              Socialinstitutet i Lund
lst              landstormen
LT               Lantbruksförbundets tidskrifts-ab
LTH              Tekniska högskolan i Lund
LTK              Lantbruksförbundets tidskriftsaktiebolags korrespondensinstitut
LUP              lokal- och utrustningsprogramkommittén
lv               luftvärn
Lv 1             Karlsborgs luftvärnsregemente, förutv
Lv 2             Gotlands luftvärnsdivision
Lv 2 A           Östgöta luftvärnsregemente, förutv
Lv 3             Roslagens luftvärnsregemente
Lv 4             Skånska luftvärnsregementet
Lv 5             Sundsvalls luftvärnskår
Lv 6             Göta luftvärnsregemente
Lv 7             Luleå luftvärnskår
LvSS             Luftvärnsskjutskolan
M                Motormännens riksförbund
MA               Musikaliska akademien
MA               Master of Arts
MB               Morgon-Bladet
MBA              Master of Business Administration
MHF              Motorförarnas helnykterhetsförbund
MHS              Militärhögskolan
milbef           militärbefälhavare
milbefstab       militärbefälsstab
milo             militärområde
MIT              Massachusetts Institute of Technology
MMT              Malmö mekaniska tricotfabriks ab
MO               militieombudsman
MSc              Master of Science
MT               Morgon-Tidningen
MUS              musei- och utställningssakkunniga
NAF              ab  Nordiska armaturfabrikerna
NBC              Nordens bondeorganisationers centralråd
nd, ndr          nämnd, -er
NDA              Nya Dagligt Allehanda
Nefa             Norrköpings elektrotekn fabr ab
NGU              Nordisk grafikunion
NIB              Nämnden för internationellt bistånd
NJA              Nytt Juridiskt Arkiv
NK               ab Nordiska kompaniet
NM               nordiskt mästerskap

