<h1>Signaturer och pseudonymer</h1>

Æ                Albert Eskeröd
A E-n            Anton Erman
A F              Allan Fagerström
A Hmn            Agne Hamrin
A L              Arnold Ljungdal
Alfa             Allan Fagerström
A Lgr            Anton Lindberger
Argus            Fritz Hägg
ARO              Axel Olson
Arvino           Albert Viksten
Attis            Astrid Ljungström
A W G            Walter Graumann
A V-tin          Aron Valentin
Ax Sbg           Axel Strindberg
A Å              Anders Ångström
A Å-m            Anders Åkerblom
B                Synnøve Bellander
Bang             Barbro Alving
Barjets          Gösta von Stedingk
B B              Bertil af Burén
Bell             Synnøve Bellander
Berco            Berndt Carlberg
Bertila          Bertil Almqvist
BEZETA           Nils Breitholtz
Bi               Birger Lundström
Big Ben          Uno Asplund
Bkg              Arvid Bjerking
B L              Birger Lundström
Bln              Wilhelm Bladin
BOAS; ***        Gustaf Emil Boldt-Christmas
Bom              Bengt Ahlbom
Brenner, Arvid   Helge Heerberger
Briel            Gabriel Jönsson
B T              Bernhard Tarschys
Bumberry         Dan Byström
By               Dan Byström
B-z              Nils Breitholtz
C-A M            Carl-Allan Moberg
Cavallus         Pierre Backman
C B-g            Curt Berg
(Cd) Lq          Conrad Lönnqvist
Cello            Olle Carle
CGSM             C-G Stellan Mörner
Chap             Curt Östberg
Chevalier        Tage Ekstedt
Ch P B           Pierre Backman
Cif              Frans Arnheim
Claque           Anna Lisa Wärnlöf
Clipper          Gösta Holmström
Colomba          Eva von Zweigbergk
Con Amore        Arthur Stjernholm
Corinna          Greta Bolin
Crit             Ingvar Garell
C R P            Carl Pokorny
Cwd              C V Westlund
C W-r            Carsten Welinder
D A              David Ahlqvist
d’Artagnan       Leif Beckman
D B-m            Dan Byström
Delila           Margareta von Konow
Densamme         Gabriel Jönsson
Den tankfulle uttern  Dan Byström
Derrick          Dietrich Winter
DMW              Dietrich Winter
Don Color        Lars Wickman
Dribbler         Sven Rydell
E E-k            Elof Ehnmark
Ege              Ernst Kulling
E Hj L           Erik Hj Linder
E J              Edvard Jönsson
E J              Enar Jonsson
E L              Ellen Liliedahl
ELD              Erik Lundegård
Eli              Erik Hj Linder
Ell              Sten Egnell
E Lqt            Eric Lindqvist
E M S            Marianne Stuart-Bergström
Eng              Wilhelm Engdahl
Eo               Ansgar Eeg-Olofsson
E P-w            Edvin Pelow
Eriks, Gustaf Rune  Rune Eriksson
Ess              Sven Låftman
Esset            Manne Ståhl
Eveo             Erik Wilhelm Olson
EWK              Ewert Karlsson
EWO              Erik Wilhelm Olson
E v Z            Eva von Zweigbergk
Farbror Sven     Sven Jerring
F H              Fritz Hägg
F H T            Folke Törnblom
Figge            Anders Sten
Fix              Sven Låftman
F L-n            Folke Lindgren
Fob              Enar Jonsson
Fremling, Stefan  Hilding östlund
Frid             Stefan Oljelund
fru Hein         Else Kleen
Fröken           Greta Bolin
F S              Frans Severin
-g               Fritz Hägg
Gem              Gösta Edström
G Hfm            Gerhard Hafström
G H-m            Gösta Holmström
G H-n            Gunnar Helén
G Kn             Gustaf Karlsson
G-ll             Ingvar Garell
GN               Gunnar Nylund
G N-m            Gustaf Näsström
G Rbg            Gerd Ribbing
Griggs           Sven Aurén

