Red Top                   Lennart Nyblom
<br/>R:et                      Rudolf Eklöw
<br/>R FI                      Rudolf Florin
<br/>Rit-Ola                   Jan-Erik Garland
<br/>R J                       Robert Josephsson
<br/>-r -n                     Gunnar Franzén
<br/>-rr-                      Harry Hjörne
<br/>-r -r                     Gunnar Unger
<br/>Robin Hood                Bengt Idestam-Almquist
<br/>S                         Sven Strömberg
<br/>Saxo Epigrammaticus       Arvid Bjerking
<br/>Schr                      Harald Schiller
<br/>S-e                       Sigge Bergman
<br/>S-e                       Sven Ulric Palme
<br/>S F                       Sven Frychius
<br/>S-ff                      Axel Olson
<br/>S H                       Sven Hansson
<br/>Sigge                     Sigge Bergman
<br/>Sir Guy                   Pierre Backman
<br/>Slas                      Stig Claesson
<br/>S Ln                      Sigurd Lagerman
<br/>Sonsoff                   Axel Olson
<br/>Spectacle                 Gunnar Unger
<br/>S R                       Siri Rathsman
<br/>S R                       Stellan Rosén
<br/>S R-n                     Sven Rinman
<br/>Ständer                   Stefan Anderson
<br/>Stenman, Karl-Stefan      Björn Landström
<br/>Steve                     Sven  Strömberg
<br/>Stig L                    Stig Lindberg
<br/>STh                       Sture Thorsson
<br/>Suneson, Vic              Sune Lundquist
<br/>SUP                       Sven Ulric Palme
<br/>Svale                     Sven Sandstedt
<br/>Swan                      Bertil Svahnström
<br/>Sven                      Sven Lindhagen
<br/>Svenne                    Sven Strömberg
<br/>Svt                       Svante Svärdström
<br/>Sylvain, Jules            Stig Hansson
<br/>Tege                      Märta Tamm-Götlind
<br/>Tekå                      Torvald Karlbom
<br/>Tex                       Tore Nilsson
<br/>T G W                     Tord Wickbom
<br/>T G W                     Tore Wärenstam
<br/>Thl                       Harry Thunell
<br/>Th N                      Thure Nyman
<br/>Tierra del Fuego          Aron Valentin
<br/>Tigram                    Margit Siwertz
<br/>Tim                       Timus Winqvist
<br/>T Km                      Torvald Karlbom
<br/>Trallgöken                Bertil Almqvist
<br/>T T                       Torsten Tegnér
<br/>T W                       Torsten Wilner
<br/>T W                       Timus Winqvist
<br/>T Wlr                     Torsten Wilner
<br/>Wachen                    Bertil von Wachenfeldt
<br/>Vagant                    Eric Lindqvist
<br/>W B                       Walter Bauer
<br/>Westin Silverstolpe       Gunnar Silverstolpe
<br/>W H-g                     Waldemar Hammenhög
<br/>Wijk                      Gunnar Wijkmark
<br/>Viola                     Marianne Zetterström
<br/>V L                       Viggo Loos
<br/>Wll                       Torsten Widell
<br/>W N                       Wilhelm Norlind
<br/>von Oben                  Erik Wilhelm Olson
<br/>v S                       Carl-Eduard von Seth
<br/>Vulc                      Sven Malm
<br/>Yrjö W                    Georg Bergfors
<br/>Å Bd                      Åke Berglund
<br/>Åke                       Åke Forsberg
<br/>Å V S                     Åke V Ström
<br/>Ö-n                       Carl Johan östman
<br/>Örn, Eric                 Otto Grimlund
<br/>
