<h1>Förkortningar</h1>

A 1       Svea artilleriregemente
A 2*      Göta artilleriregemente, förutv
A 3       Wendes artilleriregemente
A 4       Norrlands artilleriregemente
A 5       Norrbottens artillerikår, förutv
A 5*      Upplands artilleriregemente, förutv
A 6       Smålands artilleriregemente
A 7       Gotlands artillerikår
A 8       Bodens artilleriregemente
A 9       Bergslagens artilleriregemente
A 9*      Positionsartilleriregementet, förutv
AB        Aftonbladet
ABA       ab Aerotransport
ABF       Arbetarnas bildningsförbund
ADB       automatisk databehandling
AEF       Affärsekonomiska forskningsinstitutet
Afa       Arbetsmarknadens försäkrings-ab
AIBM      Association internationale des bibliothéques musicales
AIHS (hk) Artilleri- och ingenjörhögskolan (högre kurs)
AIOS      Artilleri- och ingenjörofficersskolan
AIPPI     Association Internationale pour la Protection de la Propriété Industrielle
AIT       Alliance Internationale de Tourisme
AK        andra kammaren
AMS       arbetsmarknadsstyrelsen
ANdL      Accademia Nazionale dei Lincei, Rom
APF       allmänna pensionsfonden
ArtSS     Artilleriskjutskolan
ASJ       ab Svenska järnvägsverkstäderna
ASME      American Society of Mechanical Engineers
ASP       Allmänna svenska prästföreningen
Assi      ab Statens skogsindustrier
AssocMA   Associé Musikaliska akademien
ast       arméstaben
ASTM      American Society for Testing Materials
AT        Aftontidningen
ATP       allmänna tilläggspensioneringen
ATV       Akademiet for de tekniske Videnskaber, Köpenhamn
AU        arbetsutskott
AUS       Arméns underofficersskola
AUU       avtalsreglering av upphovsrättsliga frågor på undervisningsområdet
AV        audiovisuell
AÖA       Arbetsgivarnes ömsesidiga ansvarsförsäkringsbolag
AÖO       Arbetsgivarnes ömsesidiga olycksfallsförsäkringsbolag
BA        Bachelor of Arts
BBA       Bachelor of Business Administration
Befa      Byggnadsentreprenörernas fastighets ab
bf        bondeförbundet
BK        bränslekommissionen
BLM       Bonniers Litterära Magasin
BSc       Bachelor of Science
CAM       Compagnie d’Applications Mécaniques (SKF)
CERN      Conseil Européen pour la Recherche Nucléaire, Genève
CFB       Centralförbundet för befälsutbildning
CFF       Centralförbundet folk och försvar
CFN       Centralförbundet för nykterhetsundervisning
cfo       civilförsvarsområde
CIE       Commission Internationale de l’Eclairage
CIGRÉ     Conférence Internationale des Grands Réseaux Electriques
CIO       Congress of Industrial Organizations
CIOS      Comité International de l’Organisation Scientifique
CIRP      Collège International pour l’Étude Scientifique des techniques de Production Mécanique
COSPAR    Committee on Space Research, London
cp        centerpartiet
CSA       Centralförbundet för socialt arbete
CST       Civila statsförvaltningens tjänstemannaförbund
CTH       Chalmers tekniska högskola
CTI       Chalmers tekniska institut
CVB       Centrala värnpliktsbyrån
CVV       Centrala flygverkstaden, Västerås
Daco      De anställdas centralorganisation
DAI       Deutsches archäologisches Institut

