Signaturer och pseudonymer

æ	Albert Eskeröd

A E-n	Anton Erman

A F	Allan Fagerström

A Hmn	Agne Hamrin

Alfa	Allan Fagerström

Anders	Anders Andersö

Anea	Anna Lena
Wik-Thor-sell

ARO	Axel Olson

Attis	Astrid Ljungström

A W G	Walter Graumann

Ax Sbg	Axel Strindberg

A Å	Anders Ångström

B	Synnove Bellander

Bang	Barbro Alving

Bara Ja	Bo Ancker

Barjets	Gösta von Stedingk

BB	Bertil af Burén
Beck och Jung Holger Bäckström och

Bo Ljungberg

Bell	Synn0ve Bellander

Bey	Ulla Beyron-Henriques

BEZETA	Nils Breitholtz

B Hsb	Bengt Hambræus

Bi	Birger Lundström

Bix	Erik Brandt

B L	Bi^^ger Lundström

BOAS; ***	Gustaf Emil Boldt-

Christmas

Bom^	Bengt Ahlbom

Briel	Gabriel Jönsson

Brum	Björn Hasselblad

BS	Bengt Sandberg

B T	Bernhard Tarschys

B-z	Nils Breitholtz

C-A M	Carl-Allan Moberg

(Cd) Lq	Conrad Lönnqvist

Cello	Olle Carle

CGSM	C-G Stellan Mörner

CJaque	Anna Lisa Wärnlöf

Colomba	Eva von Zweigbergk

Corlnna	Greta Bolin

Crit	Ingvar Garell

C R P	Carl Pokorny

Cwd	C V Westlund

C W-r	Carsten Welinder

D A	David Ahlqvist

Delila	Margareta von Konow

Densamme	Gabriel Jönsson

Derrick	Dietrich Winter

Dill	Gunde Johansson

DMW	Dietrich Winter

Don Color	Lars Wickman

EE-k	ElofEhnmark

Ege	Ernst Kulling

E Hj L	Erik Hj Linder

E J	Enar Jonsson

ELD	Erik Lundegård

Eli	Erik Hj Linder
Eli	Sten Egne||
E Lqt	Eric Lindqvist
En Annan	Karl Gustav Ljunghill
Eng	Wilhelm Engdahl
Eo	Ansgar Eeg-Olofsson
Eriks, Gustaf
Rune	Rune Eriksson
Ess	Sven Låftman
EWK	Ewert Karlsson
E v Z	Eva von Zweigbergk
Farbror Sven	Sven Jerring
F H	Fritz Hägg
F H T	Folke Törnblom
Figge	Anders Sten
Fix	Sven Låftman
Fob	Enar Jonsson
Fröken	Greta Bolin
-g	Fritz Hägg
G A	Yngvar Alström
Gem	Gösta Edström
G Hfm	Gerhard Hafström
G H-n	Gunnar Helén
Gits	Gits Olsson
Gleam	Yngvar Alström
G-ll	Ingvar Garell
GN	Gunnar Nylund
G N-m	Gustaf Näsström
Gormander	Gunnar Ohrlander
G Rbg	Gerd Ribbing
Griggs	Sven Aurén
(Grt)	Helge Granfelt
G S	Gunilla Skawonius
Gulle	Gunilla Brorsson
Wol-de

Gullmar, Kai	Gulli Bergström

Gunilla	Gunilla Skawonius

Gunlàug	Lisa Mattson

G W	Gunilla Skawonius

G W F	Gösta Funke

H	Alf Henrikson

H af S	Ulf Hård af Segerstad
Hallgard Anna

Kajsa	Margit Olofsson

Ham	Agne Hamrin
Hedlund Jan-Olof Sun Axelsson

Helena	Gerd Ribbing

Henrik	Alf Henrikson

Hersto	Herman Stolpe

H G	Helge Granfelt

Hg Pl	Hilding Pleijel

H H-th	Helge Hellroth

Hiram	Märit Huldt

H J	Harry Järv

H P M	Henry Peter Matthis

Hqt	Carl-Ewald Holmqvist

H S-m	Henning Söderhjelm

HSy	Håkan Sterky

XVII
